"username--style37","u-dt","bbWrapper"
"Coffees","Friday at 11:26 AM","Not sure who it would be on the Canucks, Elias Pettersson or Dakota Joshua I think


Okay now your guys turn, feel free to talk about upcoming two way players or unsung heros of your team as well"
"Jacob","Friday at 11:31 AM","Hmm.. I’d say Rust or Eller. Maybe a newcomer like Lizotte proves to be better."
"","Friday at 11:34 AM","Elias has been better for longer, Joshua needs to somewhat repeat what he did last season."
"","Friday at 11:35 AM","On the Avs, probably not suspended Nuke, or uninjured Lehkonen, or not LTIR'd Landeskog. Fun times lol."
"","Friday at 11:37 AM",""
"Nicko999","Friday at 11:39 AM","Suzuki"
"Coffees","Friday at 12:03 PM","That's the big question with Joshua. Also, are we in a somewhat agreement for the first time ever?"
"The90","Friday at 12:04 PM","Max Domi"
"HugeInTheShire","Friday at 12:04 PM","Devils are easy, it's Nico Hischier"
"5 Hole","Friday at 12:08 PM","I'm gonna go with Barkov."
"Choralone","Friday at 12:09 PM","Kopitar and Danault, still."
"Coffees","Friday at 12:10 PM","I love that player"
"Idiot Stick","Friday at 12:10 PM","cant think of one"
"LeafsNation149","Friday at 12:11 PM","Matthews"
"VanIsle","Friday at 12:15 PM","Marchand"
"","Friday at 12:18 PM","No."
"OgeeOgelthorpe","Friday at 12:23 PM","Compher, Copp and Rasmussen are all pretty close in Detroit. Which is the problem."
"Stive Morgan","Friday at 12:24 PM","Suzuki, but his defense on the PK is overrated and his defense at even-strength is rated.

I've always felt and observed that his game (specifically defensive game) works better with the speed, constant transitioning, and unpredictability of 5-on-5 or 4-on-4, vs. set plays/strategies on the PK. Suzuki is often at his best while thinking on his toes."
"BagHead","Friday at 12:28 PM","Easy one, . How this guy has never been a finalist for the Selke, I do not know. He battles for literally every inch of ice, all over the ice, and usually wins. He's got a good stick, good positioning, strong body, he's physical, and he even scores most of his goals for the same reasons that he's good defensively, he's just .
There are three things I will never stop singing the virtues of: my family, Costco, and Joel Eriksson Ek. I know about it, and you need to know it too.

Behind him there's a cast of decent defensive guys, but none that are as complete. Guys who deserve a little credit are Ryan Hartman, Marcus Foligno, and (until last year) Freddy Gaudreau. I think Marco Rossi is going to get there, too, but he wasn't there yet."
"","Friday at 12:30 PM","Sean Couturier is still the top dog in Philly."
"Vinh","Friday at 12:35 PM","Should have been a Selke finalist last year. He's annoying as hell to play against."
"I am not exposed","Friday at 12:42 PM","Barkov"
"MessierII","Friday at 12:47 PM","Probably Nugent Hopkins. Connor Brown is really good too but plays way less minutes."
"Artemi Panarin","Friday at 12:52 PM",""
"Sheppy","Friday at 12:54 PM","Marchand.

Bruins have been lucky with he and Bergeron."
"MessierII","Friday at 12:54 PM","What’s funny? Brown is unbelievable away from the puck. If he wasn’t he would have been waived this year."
"Mrb1p","Friday at 12:55 PM","Suzuki easy"
"Coffees","Friday at 12:57 PM","How far behind is McDavid now from RNH? in terms of defensive awareness. I know McDavid has been good defensively this year


You can't blame that Rangers fan, your own team board turned Brown into a meme last year even though he was not terrible."
"ESH","Friday at 12:58 PM","Mikael Backlund has quietly been one of the best defensive forwards in the league for a decade now"
"WhataKnight","Friday at 1:00 PM","Knight’s don’t make this one easy.

Depending on health and what day of the week it is, this could be Karlsson, Eichel, Stone OR Roy."
"MessierII","Friday at 1:03 PM","McDavid has always been solid his biggest issue has always been flying the zone early to cheat for offense. It forces our D to make tougher plays than they should have to. This is especially prevalent when they him and Draisaitl together. Drai and him together are a defensive disaster but when they are clicking the offense more than makes up for it. When separated they both play solid D but neither are as polished as Nuge."
"","Friday at 1:04 PM","Nic Dowd maybe. Could end up being Lapierre."
"Coffees","Friday at 1:05 PM","Appreciate the insight, Mess.

Also, care to address the Connor Brown statement ?"
"Soundgarden","Friday at 1:06 PM","O'Reilly or Sissons."
"Coffees","Friday at 1:06 PM","Don't think Protas will take the next step? Lol that dude is the most underrated U23 Center in the game


Puck pursuit : O'Reilly
Covering passing lanes : Sissons

correct or wrong ?"
"Pavel Buchnevich","Friday at 1:17 PM","Trocheck for the Rangers.

Will Cuylle was great defensively for a rookie and a non elite rookie on the defensive end. He’ll be a stud defensive forward in another few years."
"RickyLafleur","Friday at 1:22 PM","He was also one of, if not the best defensive forward in Ottawa before he was traded."
"","Friday at 1:24 PM","I actually almost included Protas in my post. 

So yeah put him in the conversation."
"Coffees","Friday at 1:25 PM","San Jose will take him for a slight overpayment in picks"
"Aladyyn","Friday at 2:07 PM","We have a lot of turnover in the bottom 6 but of players that were on the team last year and still are this year, it might just be Zach Benson. Either him or Greenway."
"behemolari","Saturday at 7:38 PM","Barkov.. I guess"
"Naster Okan","Saturday at 7:51 PM","Jason Dickinson"
"Kevin27NYI","Saturday at 7:54 PM","Pageau for me, cizikas is close second."
"The Devilish Buffoon","Saturday at 7:56 PM","I have high hopes for Nikolai Kulemin, personally. 


If someone only watched hockey from October 2023 - March 2024, they might actually believe you know a thing or two."
