"username--style37","u-dt","bbWrapper"
"Brookbank","May 16, 2023","My prediction is that no Canadian team will have won a Stanley cup. This isn't just a salty take. It is just one of those trends that everyone thinks will inevitably break but just doesn't. And won't. 

Columbus will still be unlucky and wont win a draft lottery. And if it does, it will be the weakest draft in modern history.

Tampa Bay will stumble into another surefire #1 OA pick just like Chicago did again.

The Oilers still won't have a true #1 goaltender.

Seattle and Vegas will always be stronger than anyone expects. And will make the playoffs more often than not.

The Canucks will make the playoffs at some point and go on a run and come up short. Riot will ensue. Just as it did in 1994 and 2011.

Anyway do you have any predictions 5 years out ?"
"aryanoboi","May 16, 2023","Toronto wins the next 5 Stanley cups. Matthews, on Arizona, is in disgust watching golden boy Marner score 56 goals and 181 points the first year after he was traded, and watching matt murray win 3 conn smythes. So much salt reigns from Gary Bettman's tears a new mining industry is set up. Coach Darryl Sutter is so impressed with the team his first year, he moves his ranch to the middle of downtown Toronto and sets up a new Maple Leafs training camp at his farm to help train his players in the offseason. Rumour has it that the hard work, effort, and determination that they learned at the farm is what led them to those 5 Stanley cups, and the eternal dynasty of the Toronto Maple Leafs."
"","May 16, 2023","Montreal will win a Cup by 2028.

Washington, Pittsburgh, Boston and Tampa will head toward a rebuild.

Oilers will stubbornly hold onto Draisaitl and McDavid and never be able to surround them correctly.

Most of Toronto's top 4 will leave.

Lafreniere will leave NYR and revive his career, although not to the level expected of him pre-draft.

Ovechkin will beat Gretzky's goalscoring record."
"adsfan","May 16, 2023","Nashville starts next season 0-5 and John Hynes gets fired. GM Barry Trotz also takes over as interim coach for the rest of the season. Tommy Novak scores 35 goals, a new team record.

Second season: Joey gets traded. Askarov joins Saros in the Preds net. Novak scores 40 goals.

Third season: Preds win the division title in a horse race. They hang a banner. Novak scores 45 goals.

Fourth season: Preds win the Western Conference. They hang a banner. Novak scores 50!

Fifth season: The Preds finally win the Stanley Cup after defeating Dallas, Seattle and Vegas, then Toronto. They hang new banners! Novak scores 45 goals, but adds 10 in the playoffs."
"EdJovanovski","May 16, 2023","Vitali Kravtsov will crack 150pts in a season and I'll be offered a job as the Director of Amateur Scouting for an NHL team."
"Dirty Dan","May 16, 2023","Leafs will run it back, one last time baby"
"","May 17, 2023","For sure no Canadian teams will have a cup. The most recent cup winner (2027) two best players are unknowns at this time (think Jay Robertson, Roope Hintz, Oettinger, or Brayden Point/Kucherov) - none are super high draft picks"
"Rich Nixon","May 17, 2023","The Flyers will have promoted Tortorella to GM and President and will remain irrelevant."
"Mackiaveli","May 17, 2023","Montreal, Ottawa, Buffalo and New Jersey (3/4 of them) will be powerhouse teams in the East.

Philadelphia will be a dark-horse defensive style team that plays tough hockey with a few talented finishers who don't mind chipping in the extra effort - their captain will be Sanheim.

Vegas or Seattle will have won a Stanley Cup before the Toronto Maple Leafs.

Toronto will still be a competitive team season after season but will never break the hump - the furthest their core sees is an Eastern Conference Final where they lose in Game 6 to the New Jersey Devils.

Detroit consistently underperforms despite seemingly having all the right pieces - there is starting to be concern about Yzerman's plan - they have made the playoffs a few times but they haven't made a deep run (or they win the cup in 2028)

New Jersey has won a cup

Bedard is a PPG player stuck on a bottom feeding team in Chicago

Michkov is in the NHL as a late-rooke (a la Panarin/Kaprizov) and wins the Calder.

Ovechkin and Crosby are both retired."
"Conbon","May 17, 2023","CBJ will have a conference final appearance with Carlsson as 1C.

Lafreniere will be traded and make the Rangers look incompetent.

Anaheim will be labeled playoff chokers that struggle defensively a la Leafs led by Fantilli and Zegras and a glut of offensive defenseman.

Calgary will be in very dark times strapped with unmoveable contracts.

Bedard wins an Art Ross in year 5."
"tnnr","May 17, 2023","bedard 0 playoff appearances"
"Nicko999","May 17, 2023","Connor Bedard scores 70 in a season and surpasses McDavid as the best player in the world."
"God","May 17, 2023","My prediction is that Bedard will come home, but because he is under team control for 7 (8?) years, I will instead predict that he will tell Chicago ""I am leaving in 2 years""."
"awegrzyn","May 17, 2023","Few teams will fold."
"LiveLaughDucks","May 17, 2023","Thank god that cannot come true considering Fantilli is Canadian."
"Conbon","May 17, 2023","Fixed for ya"
"alko","May 17, 2023","McDavid will be in New York Rangers.

There will be at least 15 core Slovak NHL players. 1 goalie minimum. 

Miroslav Satan GM of Buffalo Sabres."
"GermanSpitfire","May 17, 2023","My prediction is that Maddox Schultz is a first round pick, and contents for a top-5 selection in this draft."
"Le Rosbeef","May 17, 2023","Some team, somewhere, will be using AI to help them draft players..."
"EbonyRaptor","May 17, 2023","Chicago finishes with the worst record next year but TB wins the lottery and knock Chicago back the 2nd. TB selects Celebrini and Chicago takes Eiserman ... oh well ... I guess Eiserman will have to do."
"lanceuppercut75","May 17, 2023","Bobrovsky coaches Winnipeg to a cup win in 4 or 5 years from now. McGroarty scores the cup winning goal."
"","May 17, 2023","Carey Price is given new bionic knees and wins 5 straight Vezinas"
"acor","May 17, 2023","I don't have any predictions, but... I'd like to read such threads from 5, 10 or 15 years ago (must be somewhere), and see how it panned out..."
"viper0220","May 17, 2023","The Calgary Flames unable to get a new arena relocates to somewhere south of the border.

The big 4 in Toronto leave.

Expansion happens but both of the teams are south of the border from Canada.


The Montreal Canadiens are the best Canada based team.


Gary Bettman retires."
"GigaChad","May 17, 2023","Matthews, Marner & Tavares are no longer with the team and the Leafs will win the cup.
Kansas City Scouts come back. Coyotes are no more.
Detroit moves back to the Western Conference and Quebec gets a team.
Karlsson is traded to the Oilers and they finally win the cup.
Bedard scores 130 points in his first year.

It would be really fun to check out previous prediction threads from 2018 etc!"
"HockeyWooot","May 17, 2023","Ovechkin breaks Gretzky's goal record.

After more failed attempts to make the Pens have one last hurrah, Crosby gets traded to Colorado and wins another cup prior to retiring.

Lafreniere gets traded and thrives in his new team.

Three of the big four move out of Toronto. Matthews is traded to Florida in a mega deal with Barkov coming back the other way. Matthews and the Panthers win the Stanley Cup in his first year there, with him picking up the Conn Smythe. The Leafs with Barkov make a cup run to the finals a few years later. 

Canucks makes the playoffs as a wildcard spot an Pettersson wills them to a cup final in a Conn Smythe worthy performance where they lose in a game 7 heartreaker against their fellow expansion chanchise Buffalo.

Buffalo Sabres win their first cup.

McDavid leaves after another disappointing year. Draisaitl stays and the Oilers make the cup finals two years later.

Bedard is tearing up the league but Hawks are struggling to become better than a basement dweller, he demands a trade."
"canuckster19","May 17, 2023","I don't really care about jinxes at this point.

We win two cups in a row, Pettersson and Demko win the Conn Smythe"
"","May 17, 2023","No, for New jersey ... Man it got be New Jersey"
"","May 17, 2023","Next 5 cup winners: Carolina, Dallas, Colorado, New Jersey, Edmonton

McDavid wins 4 of the next 5 Art Rosses. 

Pittsburgh wins the Michael Misa sweepstakes.

Coyotes move to Houston, Atlanta and Salt Lake City are awarded expansion teams in 3 years.

Bettman retires but Bill Daly doesn't succeed him."
"Patdud","May 17, 2023","The Bruins fill find new and even more embarrassing ways to lose when up in a series to the point we will review the micro stats of each choke to determine which choke was the chokiest."
"Gaylord Q Tinkledink","May 17, 2023","Joel Armia is out of the league and approaches Jason Allison's mythical status of slow."
"","May 17, 2023","Vegas wins 3 Stanley Cups in row, Carolina win the other two. Logan Thompson becomes an internationally sensation when he becomes the first goalie in NHL history to win the Rocket Richard. Hangman wakes up."
"HockeyVirus","May 17, 2023","80% of posts in here about leafs, multiple leaf threads on every board. Tell me again how Toronto isn't the center of the hockey universe.."
"scoopscj","May 17, 2023","The Devils will be competitive and will make a finals at one point in the next 5 years. Hopefully win. 

Pitt and Washington will continue their decline. A bare farm system will do that. 

The Predators will become very good and compete for a cup due to their trades and picks. (if they hit)

Rangers will suck. SUCK SUCK. ( I have no idea if this is true, but that's what I am putting into the universe.)"
"","May 17, 2023","Mentionned (counting when they say Canadian teams and your post) 9 out of 34 posts."
"Canadiens Ghost","May 17, 2023","Everybody loves a good laugh."
"Juxta Position","May 17, 2023","Ahh you again, making something that isn't about the Leafs, about the Leafs so you can comment that everyone makes everything about the Leafs.

""It's a bold strategy Cotton..."""
"EpiK Sandwich","May 17, 2023","Seider wins a Norris"
"","May 17, 2023","He probably does at some point in the next half decade if he truly is generational and McDavid leaves his prime years... but he isn't passing 70 man. So many things have to go right to hit that type of goal total."
"Haatley","May 17, 2023","What's the team record for goals in a season now? lol."
"Brookbank","May 17, 2023","After they sign Matthews, I think he will be in the playoffs in his second year. And will win 2 maybe 3 cups by 2028. Watch Crosby go there on a cheap deal just to win another cup for fun."
"Crede777","May 17, 2023","Dubois signs with Montreal for $9.5M × 7 years. His career high in points during his stint with Montreal will be 70. Just 2 years after signing PLD, Montreal fans will be calling for him to be traded because he's overpaid.

Meanwhile, Montreal plays hardball with Slaflovsky who is actually becoming a really good power winger. Montreal bridges Slaf. Slaf eventually heads out west to Vegas."
"dalewood12","May 17, 2023","McDavid goes to the Los Angeles Kings
Crosby and Malkin go on one more deep run.
Dallas win back-to-back cups. 
Salt Lake and Houston get teams."
"Oneiro","May 17, 2023","Just spitballing, don't take it personally:

NJ, CAR, BUF and OTT perpetual playoff teams in the East. OTT becomes a cap team.

TOR fans experience more existential pain as nothing is left from the big 4 era except for a few late 1sts and promising B-tier prospects. Dubas leaves. Books get written about this era.

NJ wins multiple cups. BUF wins one.

FLA is often a playoff team but their chance is never as good as it is now as a lot of guys leave in UFA and Zito wisely does not overpay, opting for a retool. But the drafting can't replenish them. Barkov is never the same player as his ""most underrated"" phase.

By '28, MTL becomes the new Minnesota Wild - your annual un-threatening playoff team. Slafkovsky is a middle 6 caliber guy.

On that note, MIN stays mediocre and Kaprizov is traded. Boldy becomes C. Rossi, Ohgren, etc. are never that good, much like the previous MIN young core. But Wallstedt becomes the new Shesterkin/Price, dragging a subpar group to the playoffs. And Boldy stays on trajectory.

DAL is the clear best in the west. They get a cup.

COL stays good but no longer great - they make a big deadline acquisition for a star, get some luck and win one more before becoming the new WAS.

NYR can't get past the hump and are stuck in mushy middle, cap hell. Lafreniere, Lindgren and eventually Shesterkin are traded as they try to accumulate picks and refuse to go to 10M+ for Shesterkin. Another one of their long term forwards agrees to a trade, the others veto. 

CHI is still lottery bad two years into Bedard's first extension. 

CBJ is still bad but they get a first overall for their troubles. At the '26 deadline, they trade Laine at 50% for a late 1st that ends up being a key piece.

LA becomes the new Boston - great regular season team that can't put it together in the post-season. Clarke ends up being as good as predicted.

McDavid and Draisaitl both walk cup-less and the cycle begins anew in EDM. The summer before McD's last year is drama-filled and annoying for all of us.

VAN is status quo and Pettersson demands a trade. Hughes gets traded at the '27 deadline for two 1sts. Signs in NJ as a UFA right when Hamilton's contract expires as the joke becomes real. VAN starts the rebuild again.

ANA and DET make the playoffs once each but are easy outs. Kasper ends up being even better than people expect, Fantilli worse. 

PIT is a bubble team, making it some years but mostly missing. Guentzel walks. Letang retires early. They try to make a UFA splash and it backfires.

SJ starts turning the corner faster than expected. Vlasic gets one last, albeit meaningless playoff run. Karlsson is traded at next year's deadline, for a 1st, two major cap dumps and a top prospect. It's not the haul that SJ wants but one they'll accept.

STL and BOS fade as ""culture"" overtakes reality with management. Both GMs get fired/""resign"" and mini-Dubas replacements come in and overhaul both organizations, top to bottom. By '28, they're both lottery teams. Buchnevich waives for a contender. Hall gets traded 50% retained at the deadline for one last hurrah before his body gives out.

CGY owners can't see the light. They run it back, extend the wrong guys and f*** up what should've been one of the quickest rebuilds ever. 

WPG have trouble dealing this summer because of the tight cap, but by next summer, sell as they should, bringing back a haul. They become a case study vs. the Flames as far as rebuilds done right.

TB wins the lottery and gets a first overall, which annoys everybody. They are bad and Cooper leaves but their future ends up looking better than most former contenders.

NYI keeps running it back, but Lou dies on the job and another experienced league mainstay comes in to replace him. They start the long, slow painful rebuild. Barzal and Dobson get traded in '25 as the cap increases make it more viable.

NSH finally commits to a rebuild after another year of forcing it with this core. Saros is moved. Josi and Forsberg are in the same situation that Doughty-Kopitar are in now.

PHI stays a joke, the drafting stays bad, team gets sold.

WAS becomes a laughing stock, and Ovy barely beats out Gretzky's record before injuries finally settle in and he leaves for a big KHL paycheck, Kovy-style.

VGK fades just in time to get a top 5 pick. SEA is still a playoff team.

The Coyotes become yet another Texan team with a lame name. The jerseys are very boring, much like the city of Houston."
"bland","May 17, 2023","Anze Kopitar is in year 4 of his second straight 8 year $10 million per year deal, still hasn't won a playoff round in 13 seasons."
"JTToilinginToronto","May 17, 2023","Lou signs another extension to continue GM'ing the NYI."
"Gunnersaurus Rex","May 17, 2023","McDavid & Draisaitl crush Leaf Nation by resigning in Edmonton and winning a Cup.
McDavid captures 3 more Art Ross & 2 more Harts
Ovechkin retires without passing Gretzky's goal record
Penguins don't make the playoffs again and Crosby retires at the end of this contract
Coyotes move to Houston
Cup winners (including this year)
2023-Dallas
2024-Edmonton
2025-Edmonton
2026-New Jersey
2027-Ottawa
2028-Detroit"
"cliffclaven","May 17, 2023","Probably not five years, but in 10 hitting will be removed. Paving the way for a co-Ed league."
"blundluntman","May 17, 2023","Bedard will win his 2nd Richard trophy and score 130 points"
